epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,learning_rate
0,0.3978214089849354,0.44128178627090114,0.6195000518212276,0.2796937009183372,0.5801648773343825,0.7518246522763881,0.001
1,0.37063396926474784,0.46519996865397006,0.644958103652549,0.27658299120461066,0.5920561901861574,0.7664828387702384,0.001
2,0.3705182666272189,0.4634512151237083,0.6418522920756213,0.30225602882664376,0.5587361528560882,0.736843475481359,0.001
3,0.37698888778686523,0.4631391972039653,0.6418937655676783,0.2899247335224617,0.5745783118394817,0.74784703807133,0.001
4,0.3801918203851818,0.4599456466998147,0.6394009213004492,0.2893047885196965,0.5765068500143725,0.7534987228672679,0.001
5,0.3774594126549442,0.4626492145182812,0.6416753649184134,0.2751442455663914,0.59195922106141,0.7612105491684704,0.001
6,0.3752641851923107,0.4652671413084047,0.6458147930360474,0.2711520485761689,0.5975137754547887,0.7660461940416475,0.001
7,0.38609815751556803,0.45229673926281716,0.6280780260541797,0.29855133120606586,0.5627143363642351,0.7301541559579896,0.001
8,0.3707284927368164,0.4659859050823524,0.6380915786840219,0.2641430235490566,0.6054591828184884,0.7619533051804799,0.001
9,0.37347696629245725,0.4614753514792012,0.6331351243816645,0.3632906166518607,0.49953883018617223,0.7110101653308403,0.001
10,0.38750048285037014,0.44728311243574176,0.6215455843284067,0.29327544351903406,0.5656270515627977,0.7420665389154015,0.001
11,0.37554338653530694,0.46111392183641414,0.6345069885781381,0.2855199502735603,0.5800299144301811,0.7547004368247056,0.001
12,0.37759478851757217,0.4609024007763483,0.6372870304415711,0.2914163397579658,0.5728504362266948,0.7467156139815726,0.001
13,0.3757810007154414,0.4646266625979833,0.6434343040516947,0.2837202258226348,0.5840461649250511,0.7617962302231207,0.001
14,0.373501053426118,0.46666212287624326,0.6461240839114232,0.30257195670430254,0.5603956038632044,0.7393721073139005,0.0005
