epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,learning_rate
0,0.3977459583603827,0.4356773509006039,0.8705399910326106,0.4006361509903823,0.4310357853917792,0.8620715707835584,0.01
1,0.3853809142293031,0.4361435068249646,0.8720828256573117,0.3921768321554259,0.4310357853917792,0.8620715707835584,0.01
2,0.3825880703764878,0.43610529823858335,0.8721477179340621,0.38449376526445445,0.4310357853917792,0.8620715707835584,0.01
3,0.3825685323822541,0.43619770148517445,0.8720497423219511,0.40008566410529733,0.4310357853917792,0.8620715707835584,0.01
4,0.38259902988888617,0.436141071040432,0.8721326653219202,0.3955960683155768,0.4310357853917792,0.8620715707835584,0.01
5,0.3829382099608934,0.43609718071608355,0.8721943614321671,0.4006587227824891,0.4310357853917792,0.8620715707835584,0.01
6,0.3823312946538908,0.4360971001119376,0.8721942002238752,0.4011871650224865,0.4310357853917792,0.8620715707835584,0.01
7,0.38266510760338707,0.43609718071608355,0.8721943614321671,0.40121114526939866,0.4310357853917792,0.8620715707835584,0.01
8,0.38261166135399366,0.43609718071608355,0.8721943614321671,0.40245975148264723,0.4310357853917792,0.8620715707835584,0.005
9,0.38242801748136607,0.43698686043138607,0.8721943614321671,0.4011960295904981,0.4310357853917792,0.8620715707835584,0.005
