epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,learning_rate
0,0.38894647498097684,0.4361219257740618,0.8716652072469393,0.39691170817815963,0.4327081253545152,0.8623298434655607,0.01
1,0.38155930422246453,0.4360609012552297,0.8718514196077982,0.4056649859304781,0.4327081253545152,0.8623298434655607,0.01
2,0.3815401253766484,0.4361091837618086,0.8722183785173628,0.40611115999427844,0.4327081253545152,0.8623298434655607,0.01
3,0.38139072209596636,0.4361405031217469,0.8722810181313091,0.3996062644837815,0.4327081253545152,0.8623298434655607,0.01
4,0.3799333423955573,0.4361538089315097,0.8723076288898786,0.39199383103829105,0.4327081253545152,0.8623298434655607,0.01
5,0.38074598539206717,0.4361230401860343,0.8722460912333594,0.39261728888492525,0.4327081253545152,0.8623298434655607,0.01
6,0.3807436985274156,0.4358935779498683,0.8717871682180298,0.42581543666713034,0.4327081253545152,0.8623298434655607,0.01
7,0.3807630234046115,0.43614565862549676,0.8722913288076719,0.39116559352403807,0.4327081253545152,0.8623298434655607,0.01
8,0.3810851271947225,0.4367095391286744,0.872307976881663,0.39303723708898936,0.4327081253545152,0.8623298434655607,0.01
9,0.3814481289850341,0.4360994352400303,0.8721988810764418,0.39509935713844535,0.4327081253545152,0.8623298434655607,0.01
