epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,learning_rate
0,0.4164602984322442,0.43243147606392285,0.6132548752095964,0.3172028999269744,0.548742158976556,0.7363233698738946,0.001
1,0.406697412331899,0.4395899692027726,0.6229666183392207,0.3174143779424973,0.5517144665056414,0.7353390035805879,0.001
2,0.39897389782799614,0.44375863735874493,0.6213422575261858,0.31300633777806786,0.5630285938580831,0.7370931769226804,0.001
3,0.3973143778906928,0.4450412122739686,0.6226951183213127,0.42753159631917503,0.44179151483156065,0.6311493390872155,0.001
4,0.40933889733420475,0.4349034063021342,0.6128719245062934,0.3307307546521411,0.5365206176001165,0.7274044053054151,0.001
5,0.40306392351786297,0.44160344298515053,0.6219225084781647,0.2986873373573209,0.5693776939857613,0.7497398029139013,0.001
6,0.40597879038916695,0.4366509620928102,0.613450268904368,0.3205984992745482,0.5479356569847391,0.7333330548839805,0.001
7,0.40231442663404676,0.4411959570397933,0.6220696800284915,0.31123095014948904,0.5610377156106686,0.7468048242139228,0.001
8,0.415765065352122,0.4213595229056146,0.5948296798600091,0.31805508151466466,0.5507377881648732,0.7391691318264714,0.001
9,0.4151592098342048,0.4244479729566309,0.5997238470448388,0.3281957543926475,0.5424587754647673,0.7246339644914792,0.001
