epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,learning_rate
0,0.6750422485669454,0.4075791696127918,0.6020221662521362,0.5158120272336183,0.5539067462066017,0.7492553198043211,0.01
1,0.6355304471651713,0.4541020651989513,0.6402394890785217,0.4866958702052081,0.599845958425215,0.7775530355212129,0.01
2,0.6263904575506846,0.45879784857026407,0.6484386981858148,0.49761732860847757,0.5669689666606302,0.7616809680138106,0.01
3,0.6209151808420817,0.4612708948469824,0.6477445858054691,0.5157113119407937,0.5600778421453189,0.7624494738784837,0.01
4,0.6180588968594869,0.4697263813267151,0.6556385260158115,0.5048228307270709,0.5487252801974171,0.756793064099771,0.01
5,0.6133523158232371,0.4652379007865157,0.6566251065995958,0.4822215818696552,0.5910092241595712,0.7787139522440639,0.01
6,0.6133475838767157,0.4672873113552729,0.6599632802274492,0.4955228324289675,0.5555025425891932,0.7571180297268761,0.01
7,0.6038019173675113,0.4654066664559974,0.6573897859785292,0.49599280143961494,0.5941325147308547,0.7778601587554554,0.01
8,0.6062099142869314,0.4741049561458122,0.666038221915563,0.4680167856039824,0.5842421993794333,0.775014701080911,0.01
9,0.6006508594089084,0.46762585586661265,0.6618618518776364,0.47177771396107143,0.5957435028639013,0.7701101812683506,0.01
