epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,learning_rate
0,0.38203270201053885,0.43622205114627843,0.8702974381711748,0.35610052641987067,0.4327081253545152,0.8623298434655607,0.01
1,0.363436145318879,0.43598217633035447,0.8719643644491831,0.3332675521572431,0.4327081253545152,0.8623298434655607,0.01
2,0.35812877524230213,0.4361091837618086,0.8722183785173628,0.3293616875695686,0.4327081253545152,0.8623298434655607,0.01
3,0.35627015012005964,0.4361405031217469,0.8722810181313091,0.3243574486171574,0.4327081253545152,0.8623298434655607,0.01
4,0.35341092840664917,0.4361538089315097,0.8723076288898786,0.3236536491248343,0.4327081253545152,0.8623298434655607,0.01
5,0.35342807271414334,0.4361230401860343,0.8722460912333594,0.33044828403235216,0.4327081253545152,0.8623298434655607,0.01
6,0.3495263554652532,0.4358940141103752,0.8717738913496336,0.31964195063222706,0.4327081253545152,0.8623298434655607,0.01
7,0.3477566550175349,0.4377409039885793,0.8720886562599076,0.3219292524420185,0.4327081253545152,0.8623298434655607,0.01
8,0.3449182525773843,0.4391174566258173,0.8721136990520689,0.318777721191262,0.4327081253545152,0.8623298434655607,0.01
9,0.3459025905198521,0.4428117034832993,0.8721685152914789,0.3210473230315579,0.4327081253545152,0.8623298434655607,0.01
