epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,learning_rate
0,0.3748341170388184,0.4354125212821408,0.8694970573818981,0.326042861557833,0.4310357853917792,0.8620715707835584,0.01
1,0.3528307906461356,0.4365903638065812,0.8720886613974792,0.3187052774252278,0.4429236770972243,0.8665513496587772,0.01
2,0.3468940121211191,0.43924315708379813,0.8718018345137084,0.3030287340320278,0.4392878107434473,0.8651572312458907,0.01
3,0.3463521929079952,0.4394660557797432,0.8720426109761954,0.2956392963665842,0.5068004108840756,0.8794234743212709,0.01
4,0.34278415824913044,0.44044296816714423,0.8717693960115155,0.29350606203632484,0.4945690165532412,0.8808963440432407,0.01
5,0.3394905228525718,0.4495916966543506,0.8718094189396108,0.30258438778617003,0.4461970491382051,0.8664411695876925,0.01
6,0.33549722917775665,0.45278663766649224,0.8721951021418453,0.29955820884961304,0.49228438988573786,0.8781649240172735,0.01
7,0.33338031570470206,0.45712381604458346,0.8726114454642734,0.312314602039238,0.4987787613395918,0.8787931074010263,0.01
8,0.3300450240324825,0.4601180164298533,0.8735327203078627,0.2902095169197805,0.5226889405165289,0.8849343167673244,0.01
9,0.3313733155298912,0.4597539905560959,0.8731068012128945,0.29333898336580483,0.493594076949959,0.877416462001234,0.01
10,0.32768058384440546,0.4696041092530125,0.8744519842901264,0.29129649481118314,0.4969318211002282,0.880209759910508,0.01
11,0.3268534163828422,0.46994375675335487,0.8746652840719529,0.30233035334339825,0.4976090174813819,0.8805694225991126,0.01
12,0.3223529532021475,0.4821729258738609,0.8766720405252802,0.32099787555266135,0.4728408552773274,0.872298802479659,0.01
13,0.32182060805185836,0.4869263171570345,0.8776282212063935,0.3157818687544896,0.4331120986893929,0.8631290586868136,0.01
14,0.3164115692637993,0.49004753771206977,0.8788599306154081,0.3036693611209936,0.5033063347949756,0.8791144885639153,0.005
15,0.30196452415233405,0.5182941113635308,0.8847165523474751,0.3008048389715576,0.49469107254360845,0.8790077077280177,0.005
16,0.2965827768410016,0.5259315088000892,0.8862991723301572,0.3009282614261207,0.5018679618122424,0.8813306152230442,0.005
17,0.2931862039975424,0.5336238188350361,0.8880638058075278,0.285879784577185,0.544906229820452,0.8853692701547453,0.005
18,0.2925710903606593,0.5370841727998065,0.8879058098029412,0.28452282679258006,0.5691707869522977,0.8877720313497109,0.005
19,0.28411596792077254,0.5521638570696076,0.890986553714793,0.32439592481581586,0.4696523649519696,0.8723677715452591,0.005
