epoch,train_loss,train_iou,train_pixel_acc,val_loss,val_iou,val_pixel_acc,learning_rate
0,0.39213174684934343,0.43527355440528226,0.8694036456613778,0.3767435681996959,0.42621732908490645,0.851399563326694,0.01
1,0.3793859598077701,0.4361449371610006,0.8721334357278627,0.35163793233361573,0.4310357853917792,0.8620715707835584,0.01
2,0.3772614435475068,0.43609048453683236,0.8720398466782213,0.3569041810708471,0.4310357853917792,0.8620715707835584,0.01
3,0.3759773224194491,0.4361326165646019,0.8720749917827891,0.3647357966418904,0.4305359597253327,0.8610719194506654,0.01
4,0.3751659901991646,0.4369860037180773,0.8721466700801646,0.34809531662428733,0.4310357853917792,0.8620715707835584,0.01
5,0.37357658785486136,0.4361332848517944,0.8721044479315816,0.33336895187892535,0.43433861103679167,0.863737953771459,0.01
6,0.3710527903668821,0.4361881753158591,0.8721718440276448,0.3569524426492724,0.4310357853917792,0.8620715707835584,0.01
7,0.3726064612512275,0.43608509091860836,0.8721447058843972,0.36153451375441975,0.4307263144539032,0.8600693528014834,0.01
8,0.3697105180008131,0.43611802149629986,0.8721716777285647,0.34468118068162756,0.4310357853917792,0.8620715707835584,0.01
9,0.3696376724413918,0.43700082543174756,0.8721214783149258,0.34731992463221645,0.4306539801767904,0.8567892017931041,0.01
